Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #03 Focals J189 x J112	2022-02-19 19:38:42		14361.178	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2743.680	100.000;100.000;100.000;100.000;100.000		Lag Period		START	40.062	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0001.MP4	NA	NA	
Set #03 Focals J189 x J112	2022-02-19 19:38:42		14361.178	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2743.680	100.000;100.000;100.000;100.000;100.000		Courtship		START	2766.545	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0001.MP4	NA	NA	
Set #03 Focals J189 x J112	2022-02-19 19:38:42		14361.178	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2743.680	100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	2769.920	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0001.MP4	NA	NA	
Set #03 Focals J189 x J112	2022-02-19 19:38:42		14361.178	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2743.680	100.000;100.000;100.000;100.000;100.000		First Touch		POINT	3851.225	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4	NA	NA	
Set #03 Focals J189 x J112	2022-02-19 19:38:42		14361.178	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2743.680	100.000;100.000;100.000;100.000;100.000		Mount		START	3958.182	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4	NA	NA	
Set #03 Focals J189 x J112	2022-02-19 19:38:42		14361.178	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2743.680	100.000;100.000;100.000;100.000;100.000		Mount		STOP	4142.525	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4	NA	NA	
Set #03 Focals J189 x J112	2022-02-19 19:38:42		14361.178	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2743.680	100.000;100.000;100.000;100.000;100.000		Mount		START	4163.532	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4	NA	NA	
Set #03 Focals J189 x J112	2022-02-19 19:38:42		14361.178	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2743.680	100.000;100.000;100.000;100.000;100.000		Mount		STOP	4443.345	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4	NA	NA	
Set #03 Focals J189 x J112	2022-02-19 19:38:42		14361.178	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2743.680	100.000;100.000;100.000;100.000;100.000		Mount		START	4546.972	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4	NA	NA	
Set #03 Focals J189 x J112	2022-02-19 19:38:42		14361.178	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2743.680	100.000;100.000;100.000;100.000;100.000		Mount		STOP	4621.960	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #3 J189 x J112/Focals J189 x J112/C0002.MP4	NA	NA	
