"","Behavior 0","Behavior 1","Mating ID"
"1","Courtship.Start","Abdomen Tapping","g2.J144xG38"
"2","Abdomen Tapping","Leg Showcase","g2.J144xG38"
"3","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.J144xG38"
"4","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.J144xG38"
"5","Leg Showcase","Freezing","g2.J144xG38"
"6","Freezing","Leg Showcase","g2.J144xG38"
"7","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.J144xG38"
"8","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.J144xG38"
"9","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.J144xG38"
"10","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.J144xG38"
"11","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.J144xG38"
"12","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.J144xG38"
"13","Leg Showcase","Pedipalp Showcase","g2.J144xG38"
"14","Pedipalp Showcase","Leg Showcase + Pedipalp Showcase","g2.J144xG38"
"15","Leg Showcase + Pedipalp Showcase","Abdomen Tapping","g2.J144xG38"
"16","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g2.J144xG38"
"17","Leg Showcase + Pedipalp Showcase","Freezing","g2.J144xG38"
"18","Freezing","Leg Showcase","g2.J144xG38"
"19","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.J144xG38"
"20","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.J144xG38"
"21","Leg Showcase","Freezing","g2.J144xG38"
"22","Freezing","Leg Showcase","g2.J144xG38"
"23","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.J144xG38"
"24","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.J144xG38"
"25","Leg Showcase","Freezing","g2.J144xG38"
"26","Freezing","Leg Showcase","g2.J144xG38"
"27","Leg Showcase","Abdomen Tapping","g2.J144xG38"
"28","Abdomen Tapping","Freezing","g2.J144xG38"
"29","Freezing","Leg Showcase + Pedipalp Showcase","g2.J144xG38"
"30","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.J144xG38"
"31","Leg Showcase","Freezing","g2.J144xG38"
"32","Freezing","Leg Showcase","g2.J144xG38"
"33","Leg Showcase","Freezing","g2.J144xG38"
"34","Freezing","Abdomen Tapping","g2.J144xG38"
"35","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g2.J144xG38"
