"","experiment","Female","Male","Female.species","Male.species","Species.cross","Date","Narration.ID","Experiment.ended.early..T.F.","Reason.early.end","Notes","Mesh.design","Two.Cameras..T.F.","Female.left.overnight","Backed.up.on.University.server","Palp.Broken","Which.Palp.Broken","female.last.moult","female.days.since.last.moult","male.last.moult","male.day.since.last.moult","X","lag.period.duration","number.of.attacks","number.of.recoils","number.of.flees","number.of.courtships","total.courtship.duration","mean.courtship.length","number.of.mounts","total.mount.duration","mean.mount.length","copulation","copulation.pedipalps.used","duration.of.left.copulation","duration.of.right.copulation","attempted.copulation","attempt.pedipalps.used","pre.copulatory.kill","post.copulatory.kill","cannibalism","duration.of.trial","trial.cut.short","latency.to.attack","latency.to.mount","latency.to.touch","latency.to.copulate","uneventful","complete","malematedbefore","femalematedbefore"
"35","Attempt 35 J103 x H26","J103","H26","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-07,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"T","Right","21/04/2021",47,"2/04/2021",66,35,NA,0,0,1,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14489.28,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"102","Set #04 Focals J101 x J204","J101","J204","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-08,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"T","Both","21/04/2021",48,"28/04/2021",41,103,1416.947,1,0,2,4,8963.517,2240.87925,8,8115.772,1014.4715,TRUE,"both",0.208999999998923,0.208999999999833,TRUE,"right",FALSE,TRUE,TRUE,11919.36,TRUE,6856.88,1614.535,1445.147,6856.671,FALSE,TRUE,FALSE,FALSE
"107","Set #05 Focals J102 x J206","J102","J206","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-08,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"F",NA,"24/04/2021",45,"28/04/2021",41,109,402.325,1,1,4,5,11550.497,2310.0994,15,8037.581,535.838733333333,TRUE,"left",0.389999999999418,NA,TRUE,"right",FALSE,FALSE,FALSE,14452.8,FALSE,12398.848,3225.23,NA,12398.458,FALSE,TRUE,FALSE,FALSE
"1","Aborted Trial H61 x J119","H61","J119","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-10,"1",TRUE,"Male possibly injured from freezer","Male possibly injured from freezer","Basic",TRUE,"F",TRUE,"F",NA,"22/04/2021",49,"19/03/2021",83,1,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,2175.36,TRUE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"36","Attempt 36 J116 x J208","J116","J208","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-10,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"","","24/04/2021",47,"28/04/2021",43,36,5449.108,0,0,0,4,3370.985,842.74625,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14338.08,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"30","Attempt 29 H47 x J214","H47","J214","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-11,"1",FALSE,"Na","Numbered in wrong order (should be later than 29), but doesn't really matter.","Top mesh",TRUE,"T",TRUE,"","","14/04/2021",58,"5/05/2021",37,30,1412.891,0,0,1,2,12937.357,6468.6785,6,10246.241,1707.70683333333,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14487.36,FALSE,NA,3038.734,2932.919,NA,FALSE,TRUE,FALSE,FALSE
"37","Attempt 37 H57 x H64","H57","H64","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-11,"2",FALSE,"Na","","Top mesh",TRUE,"T",FALSE,"F",NA,"9/04/2021",63,"5/05/2021",37,37,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14438.88,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"79","Set #01 Focal J191 x Non-focal H38","J191","H38","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-13,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"3/04/2021",71,"9/04/2021",65,80,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14574.24,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"99","Set #04 Focal J101 x Non-focal H75","J101","H75","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-14,"1",FALSE,"Na","","Top mesh",TRUE,"T",FALSE,"","","21/04/2021",54,"2/06/2021",12,100,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14488.8,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"106","Set #05 Focal J102 x Non-focal J161","J102","J161","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-14,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"F",NA,"24/04/2021",51,"30/03/2021",76,108,1439.473,3,0,6,7,12122.551,1731.793,27,4507.551,166.946333333333,TRUE,"right",NA,0.0799999999999272,TRUE,"right",FALSE,FALSE,FALSE,14478.72,FALSE,7161.198,4787.29,3978.683,10762.138,FALSE,TRUE,FALSE,TRUE
"38","Attempt 38 J122 x J215","J122","J215","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-15,"1",FALSE,"Na","","Top mesh",TRUE,"T",FALSE,"","","9/04/2021",67,NA,NA,38,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14462.4,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"89","Set #02 Focal J190 x Non-focal J212","J190","J212","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-15,"2",FALSE,"Na","copulation attempt looks like just attempt, but palp was never chacked afterwards","Top mesh",FALSE,"T",TRUE,"F",NA,"15/04/2021",61,"21/05/2021",25,90,3081.463,0,0,2,7,10858.277,1551.18242857143,21,7607.304,362.252571428572,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,14458.56,FALSE,NA,5327.886,4686.628,NA,FALSE,TRUE,FALSE,TRUE
"111","Set #06 Focals H45 x H65","H45","H65","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-15,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"T","Left","14/04/2021",62,"12/05/2021",34,113,4266.812,0,0,0,4,8363.014,2090.7535,7,6079.096,868.442285714286,TRUE,"left",0.350000000000364,NA,TRUE,"right",FALSE,FALSE,FALSE,14425.44,FALSE,NA,5601.232,4837.252,12762.84,FALSE,TRUE,FALSE,FALSE
"39","Attempt 39 G09 x G33","G09","G33","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-16,"1",FALSE,"Na","","Top mesh",TRUE,"T",FALSE,"","","16/04/2021",61,"19/05/2021",28,39,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14497.92,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"40","Attempt 40 H06 x G36","H06","G36","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-16,"2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"F",NA,"7/04/2021",70,"19/05/2021",28,40,4106.698,0,0,5,8,9866.919,1233.364875,19,6710.182,353.167473684211,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14492.64,FALSE,NA,5128.908,4541.961,NA,FALSE,TRUE,FALSE,FALSE
"101","Set #04 Focal J101 x Non-focal J216","J101","J216","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-17,"2",TRUE,"Female Aggression, check survival of male","Male caught in female's jaws, initaially survived, but listed as kill as he died shortly after","Top mesh",FALSE,"T",TRUE,"","","21/04/2021",57,"24/05/2021",24,102,NA,1,0,1,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,4631.04,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"105","Set #05 Focal J102 x Non-focal G42","J102","G42","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-17,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"24/04/2021",54,"24/05/2021",24,106,NA,1,0,1,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14429.28,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"110","Set #06 Focal H45 x Non-focal H73","H45","H73","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-17,"1",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"","","14/04/2021",64,"21/05/2021",27,112,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14531.04,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"41","Attempt 41 H30 x J212","H30","J212","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-18,"1",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,"F",NA,"16/04/2021",63,"21/05/2021",28,41,2021.378,0,0,1,3,10569.821,3523.27366666667,15,5212.921,347.528066666667,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,14388,TRUE,NA,8248.961,2579.916,NA,FALSE,TRUE,FALSE,FALSE
"112","Set #06 Non-focal G31 x Focal H65","G31","H65","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-18,"2",TRUE,"Kill","","Top mesh",TRUE,"T",TRUE,"T","Left","15/03/2021",95,"12/05/2021",37,114,7404.135,0,0,0,1,45.7560000000003,45.7560000000003,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,8396.16,TRUE,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE
"100","Set #04 Focal J101 x Non-focal H76","J101","H76","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-21,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"21/04/2021",61,"21/05/2021",31,101,3339.667,3,1,10,9,10410.129,1156.681,22,5942.893,270.1315,TRUE,"right",NA,0.251000000000204,TRUE,"left",FALSE,FALSE,FALSE,14474.4,FALSE,2669.944,3787.477,3428.919,13747.137,FALSE,TRUE,FALSE,TRUE
"109","Set #06 Focal H45 x Non-focal H71","H45","H71","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-21,"3",FALSE,"Na","when rechecing, one of the video files was corrupted. However, all observations still support that it was uneventful. Duration is shorter because of lost file.","Top mesh",FALSE,"T",FALSE,"T","Left","14/04/2021",68,"26/05/2021",26,111,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14362.04,TRUE,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE
"42","Attempt 42 J135 x H72","J135","H72","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-22,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"15/03/2021",99,"26/05/2021",27,42,1810.025,0,0,1,3,3395.52,1131.84,1,99.1450000000004,99.1450000000004,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14525.28,FALSE,NA,14295.868,14117.61,NA,FALSE,TRUE,FALSE,FALSE
"43","Attempt 43 H34 x J210","H34","J210","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-22,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"16/04/2021",67,"2/06/2021",20,43,2231.486,3,0,3,3,170.771,56.9236666666666,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14452.8,FALSE,2257.201,NA,4756.881,NA,FALSE,TRUE,FALSE,FALSE
"44","Attempt 44 J202 x G37","J202","G37","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-22,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,NA,NA,"2/06/2021",20,44,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14473.44,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"116","Set #07 Focals J144 x G39","J144","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-22,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","15/03/2021",99,"26/05/2021",27,118,2519.971,1,0,1,4,11384.765,2846.19125,3,2770.117,923.372333333333,TRUE,"left",0.251000000000204,NA,TRUE,"right",FALSE,FALSE,FALSE,14483.04,FALSE,2637.701,3464.446,3303.351,6362.211,FALSE,TRUE,FALSE,FALSE
"104","Set #04.5 Non-focal J198 x Focal H76","J198","H76","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-24,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,NA,NA,"21/05/2021",34,105,3450.336,1,0,3,1,494.67,494.67,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14483.52,FALSE,2721.811,NA,NA,NA,FALSE,TRUE,TRUE,FALSE
"108","Set #06 Focal H45 x Non-focal H67","H45","H67","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-24,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Both","14/04/2021",71,"26/05/2021",29,110,681.27,17,0,2,11,8443.835,767.621363636364,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14532.48,FALSE,762.617,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"115","Set #07 Focal J144 x Non-focal H70","J144","H70","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-24,"3",TRUE,"Kill","Incredible mid air kill from female","Top mesh",FALSE,"T",TRUE,"T","Right","15/03/2021",101,"2/06/2021",22,117,3219.329,0,0,0,2,1591.878,795.939,2,1241.645,620.8225,TRUE,"right",NA,0.359999999999673,FALSE,NA,FALSE,TRUE,FALSE,4882.56,TRUE,NA,3540.044,3387.004,4819.894,FALSE,TRUE,FALSE,TRUE
"120","Set #07 Non-focal J151 x Focal G39","J151","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-24,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","30/03/2021",86,"26/05/2021",29,122,2590.707,1,0,1,2,1753.76,876.88,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14546.4,FALSE,4133.782,NA,NA,NA,FALSE,TRUE,TRUE,FALSE
"45","Attempt 45 H43 x G38","H43","G38","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-25,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"30/03/2021",87,"7/06/2021",18,45,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14647.68,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"46","Attempt 46 J163 x G32","J163","G32","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-25,"2",FALSE,"Na","Female still had meal","Top mesh",FALSE,"T",TRUE,"F",NA,"30/03/2021",87,"14/06/2021",11,46,NA,0,0,2,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14613.12,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"47","Attempt 47 J186 x G35","J186","G35","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-25,"3",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Left",NA,NA,"2/06/2021",23,47,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14586.24,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"103","Set #04.5 Non-focal J177 x Focal H76","J177","H76","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-28,"2",FALSE,"Kill","","Top mesh",TRUE,"T",TRUE,"F",NA,"15/03/2021",105,"21/05/2021",38,104,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,778.56,TRUE,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE
"113","Set #07 Focal J144 x Non-focal G38","J144","G38","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-28,"1",FALSE,"Na","Extremly long potential copulation with both palps. Didn't lead to breakage, but counting as copulation","Top mesh",TRUE,"T",TRUE,"F",NA,"15/03/2021",105,"7/06/2021",21,115,447.583,0,1,0,8,5392.767,674.095875,8,2001.946,250.24325,TRUE,"both",1.11000000000058,1.61999999999989,TRUE,"right",FALSE,FALSE,FALSE,14485.92,FALSE,NA,2895.581,1948.178,5898.411,FALSE,TRUE,FALSE,TRUE
"48","Attempt 48 J141 x H64","J141","H64","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-29,"4",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"14/04/2021",76,"5/05/2021",55,48,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14549.28,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"118","Set #07 Non-focal H54 x Focal G39","H54","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-29,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Left",NA,NA,"26/05/2021",34,120,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14489.28,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"127","Set #08 Focals J183 x H26","J183","H26","Dolomedes minor","Dolomedes minor","minor x minor",2021-06-29,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Right","15/04/2021",75,"2/04/2021",88,129,1388.967,0,0,2,2,8243.141,4121.5705,9,5481.91,609.101111111112,TRUE,"right",NA,0.25,FALSE,NA,FALSE,TRUE,TRUE,14465.28,FALSE,NA,3247.426,2681.128,9690.393,FALSE,TRUE,FALSE,FALSE
"49","Attempt 49 J131 x G33","J131","G33","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-01,"3",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"","","6/04/2021",86,"19/05/2021",43,49,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14559.84,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"50","Attempt 50 J170 x G36","J170","G36","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-01,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"9/04/2021",83,"19/05/2021",43,50,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14588.16,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"51","Attempt 51 J105 x J215","J105","J215","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-01,"4",TRUE,"Female Aggression","","Top mesh",FALSE,"T",TRUE,"","","15/04/2021",77,NA,NA,51,NA,1,0,1,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,438.72,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"114","Set #07 Focal J144 x Non-focal H52","J144","H52","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-01,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","15/03/2021",108,"7/04/2021",85,116,NA,1,0,2,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14569.44,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
"52","Attempt 52 J201 x J210","J201","J210","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-02,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"19/04/2021",74,"2/06/2021",30,52,1070.525,0,0,5,5,12810.535,2562.107,23,10102.977,439.259869565217,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14489.28,FALSE,NA,2451.283,2034.962,NA,FALSE,TRUE,FALSE,FALSE
"53","Attempt 53 J113 x G37","J113","G37","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-02,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"21/05/2021",42,"2/06/2021",30,53,NA,0,0,2,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14695.68,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"123","Set #07 Non-focal J196 x G39","J196","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-02,"2",FALSE,"Na","Notes of palp breakage inconsistent, check specimen to confirm copulation in this trial","Top mesh",FALSE,"T",TRUE,"T","Left","28/04/2021",65,"26/05/2021",37,125,2168.611,0,0,1,6,10289.793,1714.9655,7,3687.118,526.731142857143,TRUE,"right",NA,0.423999999999069,TRUE,"right",FALSE,FALSE,FALSE,14521.92,FALSE,NA,4788.783,4648.279,8895.098,FALSE,TRUE,TRUE,FALSE
"126","Set #08 Focal J183 x Non-focal J212","J183","J212","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-02,"1",FALSE,"Na","Male has slight damage to forelegs","Top mesh",FALSE,"T",TRUE,"F",NA,"15/04/2021",78,"21/05/2021",42,128,2583.427,0,1,12,13,9063.994,697.230307692308,22,3914.73899999999,177.942681818182,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14550.24,FALSE,NA,6301.191,3257.24,NA,FALSE,TRUE,FALSE,TRUE
"54","Attempt 54 H20 x J161","J20","J161","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-05,"3",TRUE,"Kill","","Top mesh",FALSE,"T",TRUE,"F",NA,NA,NA,"30/03/2021",97,54,2232.46,0,0,0,1,70.3429999999998,70.3429999999998,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,2460.48,TRUE,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE
"55","Attempt 55 G30 x G32","G30","G32","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-05,"4",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"F",NA,"21/04/2021",75,"14/06/2021",21,55,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14419.68,FALSE,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE
"117","Set #07 Non-focal H15 x Focal G39","H15","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-05,"2",FALSE,"Na","","Top mesh",FALSE,"T",FALSE,"T","Left","24/04/2021",72,"26/05/2021",40,119,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14498.4,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"124","Set #08 Focal J183 x Non-focal G35","J183","G35","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-05,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","15/04/2021",81,"2/06/2021",33,126,1940.79,2,2,8,7,5811.339,830.191285714286,6,1177.014,196.169,TRUE,"left",0.171000000000276,NA,FALSE,NA,FALSE,FALSE,FALSE,14469.12,FALSE,4169.325,3834.61,3451.64,8128.443,FALSE,TRUE,FALSE,TRUE
"56","Attempt 56 J121 x G42","J121","G42","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-06,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"15/04/2021",82,"24/05/2021",43,56,1238.171,0,2,1,4,11828.722,2957.1805,19,8886.821,467.727421052631,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,14495.52,FALSE,NA,1749.316,1405.084,NA,FALSE,TRUE,FALSE,FALSE
"57","Attempt 57 J187 x G16","J187","G16","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-06,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"19/03/2021",109,"19/04/2021",78,57,7821.662,1,0,3,4,6094.012,1523.503,7,5398.743,771.249,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,14475.84,FALSE,7678.084,8852.907,8756.784,NA,FALSE,TRUE,FALSE,FALSE
"58","Attempt 58 H44 x H71","H44","H71","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-06,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","15/04/2021",82,"26/05/2021",41,58,4669.169,0,1,3,8,9420.169,1177.521125,21,7059.348,336.159428571428,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14476.32,FALSE,NA,5236.999,4753.914,NA,FALSE,TRUE,FALSE,FALSE
"131","Set #09 Focals J110 x H67","J110","H67","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-06,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Both","21/04/2021",76,"26/05/2021",41,133,3025.857,0,2,0,5,6278.576,1255.7152,10,2652.229,265.2229,TRUE,"both",0.420000000000073,0.996999999999389,FALSE,NA,FALSE,FALSE,FALSE,14486.88,FALSE,NA,3618.731,3335.547,4646.97,FALSE,TRUE,FALSE,FALSE
"59","Attempt 59 J104 x H75","J104","H75","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-07,"3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"","","23/03/2021",106,"2/06/2021",35,59,NA,0,0,2,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14432.16,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"122","Set #07 Non-focal J188 x Focal G39","J188","G39","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-07,"2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","22/03/2021",107,"26/05/2021",42,124,NA,0,0,0,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14457.6,FALSE,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE
"125","Set #08 Focal J183 x Non-focal J180","J183","J180","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-07,"1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"F",NA,"15/04/2021",83,"5/03/2021",124,127,1703.684,6,0,10,11,6689.017,608.092454545455,9,953.754999999997,105.972777777777,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14487.84,FALSE,1838.515,6846.039,5150.749,NA,FALSE,TRUE,FALSE,TRUE
"137","Set #10 Focals G26 x J203","G26","J203","Dolomedes minor","Dolomedes minor","minor x minor",2021-07-07,"4",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,"T","Left","9/04/2021",89,"21/04/2021",77,139,7854.411,2,0,1,4,5895.888,1473.972,9,3535.13,392.792222222222,TRUE,"left",0.239999999999782,NA,TRUE,"left",FALSE,FALSE,FALSE,14423.52,FALSE,12148.749,8697.403,7986.382,14090.119,FALSE,TRUE,FALSE,FALSE
