"","experiment","Female","Male","Female.species","Male.species","Species.cross","Date","Narration.ID","Experiment.ended.early..T.F.","Reason.early.end","Notes","Mesh.design","Two.Cameras..T.F.","Female.left.overnight","Backed.up.on.University.server","Palp.Broken","Which.Palp.Broken","female.last.moult","female.days.since.last.moult","male.last.moult","male.day.since.last.moult","X","lag.period.duration","number.of.attacks","number.of.recoils","number.of.flees","number.of.courtships","total.courtship.duration","mean.courtship.length","number.of.mounts","total.mount.duration","mean.mount.length","copulation","copulation.pedipalps.used","duration.of.left.copulation","duration.of.right.copulation","attempted.copulation","attempt.pedipalps.used","pre.copulatory.kill","post.copulatory.kill","cannibalism","duration.of.trial","trial.cut.short","latency.to.attack","latency.to.mount","latency.to.touch","latency.to.copulate","uneventful","complete","malematedbefore","femalematedbefore"
"12","Attempt 11 G06 x J79","G06","J79","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-02,"Black mesh Trial",FALSE,"Na","Camera 1-2 file corrupted, trial extended","Basic",TRUE,"F",TRUE,"F",NA,"29/10/2020",155,"5/03/2021",28,12,11074.716,0,0,6,14,14030.803,1002.20021428571,20,12869.318,643.4659,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,25314.72,FALSE,NA,11619.154,11098.806,NA,FALSE,TRUE,FALSE,FALSE
"13","Attempt 12 J187 x J133","J187","J133","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-12,"White Mesh Trial",TRUE,"Female Aggression","Female nearly made kill","Basic",TRUE,"F",TRUE,"F",NA,"19/03/2021",24,"10/03/2021",33,13,31.427,5,0,8,7,2300.507,328.643857142857,8,541.801,67.725125,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,10684.8,TRUE,286.974,2776.026,2666.747,NA,FALSE,TRUE,FALSE,FALSE
"14","Attempt 13 J192 x J127","J192","J127","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-12,"Black mesh Trial",FALSE,"Na","","Basic",TRUE,"F",TRUE,"","","23/03/2021",20,"31/03/2021",12,14,NA,1,0,1,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14416.8,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"15","Attempt 14 J176 x J180","J176","J180","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-14,"White Mesh Trial",FALSE,"Na","","Basic",TRUE,"F",TRUE,"F",NA,"22/03/2021",23,"5/03/2021",40,15,NA,1,0,1,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14519.04,FALSE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"16","Attempt 15 J184 x H56","J184","H56","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-14,"Black mesh Trial",TRUE,"Female Aggression","","Basic",TRUE,"F",TRUE,"","","19/03/2021",26,"5/03/2021",40,16,4304.982,2,0,2,1,16.0820000000003,16.0820000000003,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,4629.6,TRUE,4318.054,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"17","Attempt 16 H62 x H37","H62","H37","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-20,"Black mesh Trial",TRUE,"","","Basic",TRUE,"T",TRUE,"F",NA,"1/04/2021",19,"12/03/2021",39,17,612.132,2,0,2,3,7264.068,2421.356,2,3164.023,1582.0115,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14390.4,TRUE,2123.52,1323.367,1070.85,NA,FALSE,TRUE,FALSE,FALSE
"18","Attempt 17 J138 x G11","J138","G11","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-20,"White Mesh Trial",TRUE,"Kill","","Basic",TRUE,"T",TRUE,"","","25/03/2021",26,"25/02/2021",54,18,NA,1,0,1,0,NA,NA,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,815.04,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"19","Attempt 18 G29 x J149","G29","J149","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-22,"1",FALSE,"Na","","Sloped",TRUE,"T",TRUE,"","","24/03/2021",29,"17/03/2021",36,19,920.356,3,0,3,1,15,15,0,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14513.76,FALSE,933.104,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
"20","Attempt 19 H36 x J119","H36","J119","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-22,"2",FALSE,"Na","Camera 1 (C0001) corrupted","Sloped",TRUE,"T",TRUE,"F ",NA,"20/01/2021",92,"19/03/2021",34,20,2606.443,0,0,5,7,5419.372,774.196,7,3370.271,481.467285714286,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,14447.04,FALSE,NA,3692.928,2702.718,NA,FALSE,TRUE,FALSE,FALSE
"21","Attempt 20 J187 x J161","J187","J161","Dolomedes minor","Dolomedes minor","minor x minor",2021-04-23,"1",FALSE,"Na","Run overnight needs to be combined","Sloped",TRUE,"T",TRUE,"F",NA,"19/03/2021",35,"30/03/2021",24,21,2670.449,1,0,7,9,35289.91,3921.10111111111,18,23615.499,1311.97216666667,FALSE,NA,NA,NA,TRUE,"left",FALSE,FALSE,FALSE,62360.24,FALSE,10801.637,3393.389,3108.342,NA,FALSE,TRUE,FALSE,FALSE
