"X.1","experiment","Female","Male","Female.species","Male.species","Species.cross","Date","Narration.ID","Experiment.ended.early..T.F.","Reason.early.end","Notes","Mesh.design","Two.Cameras..T.F.","Female.left.overnight","Backed.up.on.University.server","X","lag.period.duration","number.of.attacks","number.of.recoils","number.of.flees","number.of.courtships","total.courtship.duration","mean.courtship.length","number.of.mounts","total.mount.duration","mean.mount.length","copulation","copulation.pedipalps.used","duration.of.left.copulation","duration.of.right.copulation","attempted.copulation","attempt.pedipalps.used","pre.copulatory.kill","post.copulatory.kill","cannibalism","duration.of.trial","trial.cut.short","latency.to.attack","latency.to.mount","latency.to.touch","latency.to.copulate","uneventful","complete","malematedbefore","femalematedbefore"
134,"Set #10 Focal G26 x Non-focal H73","G26","H73","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-12","2",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,139,11013.597,1,0,1,1,216.524000000001,216.524000000001,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14489.28,FALSE,11227.872,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
162,"Set #14 Focal G30 x Non-focal G36","G30","G36","Dolomedes minor","Dolomedes minor","minor x minor","2021-08-08","3",FALSE,"Na","Attempted copulations, but palps not checked afterwards","Top mesh",FALSE,"T",TRUE,167,1909.634,0,0,0,4,12371.543,3092.88575,12,10747.846,895.653833333333,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,14448,FALSE,NA,2627.567,2107.452,NA,FALSE,TRUE,FALSE,TRUE
140,"Set #11 Focal H30 x Non-focal G38","H30","G38","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-20","1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,145,6169.326,0,0,4,4,8153.179,2038.29475,20,2894.211,144.71055,FALSE,NA,NA,NA,TRUE,"right",FALSE,FALSE,FALSE,14557.92,FALSE,NA,9761.024,8957.424,NA,FALSE,TRUE,TRUE,TRUE
106,"Set #06 Focal H45 x Non-focal H67","H45","H67","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-24","1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,111,681.27,17,0,2,11,8443.835,767.621363636364,0,0,0,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14532.48,FALSE,762.617,NA,NA,NA,FALSE,TRUE,FALSE,TRUE
152,"Set #13 Focal H62 x Non-focal G33","H62","G33","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-27","1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,158,10793.119,0,0,0,1,3672.465,3672.465,2,2364.958,1182.479,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,14507.52,FALSE,NA,11964.139,11437.972,NA,FALSE,TRUE,FALSE,TRUE
97,"Set #04 Focal J101 x Non-focal H76","J101","H76","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-21","1",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,102,3339.667,3,1,10,9,10410.129,1156.681,22,5942.893,270.1315,TRUE,"right",NA,0.251000000000204,TRUE,"left",FALSE,FALSE,FALSE,14474.4,FALSE,2669.944,3787.477,3428.919,13747.137,FALSE,TRUE,FALSE,TRUE
104,"Set #05 Focal J102 x Non-focal J161","J102","J161","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-14","2",FALSE,"Na","","Top mesh",TRUE,"T",TRUE,109,1439.473,3,0,6,7,12122.551,1731.793,27,4507.551,166.946333333333,TRUE,"right",NA,0.0799999999999272,TRUE,"right",FALSE,FALSE,FALSE,14478.72,FALSE,7161.198,4787.29,3978.683,10762.138,FALSE,TRUE,FALSE,TRUE
127,"Set #09 Focal J110 x Non-focal J140","J110","J140","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-09","1",TRUE,"Kill","","Top mesh",FALSE,"T",TRUE,132,1335.054,0,1,0,5,5306.065,1061.213,4,3163.985,790.99625,FALSE,NA,NA,NA,TRUE,"left",TRUE,FALSE,TRUE,7969.92,TRUE,NA,3150.919,2469.809,NA,FALSE,TRUE,FALSE,TRUE
147,"Set #12 Focal J124 x Non-focal G32","J124","G32","Dolomedes minor","Dolomedes minor","minor x minor","2021-07-26","3",FALSE,"Na","","Top mesh",FALSE,"T",TRUE,152,7908.947,1,0,6,6,6218.833,1036.47216666667,8,2293.134,286.64175,FALSE,NA,NA,NA,TRUE,"both",FALSE,FALSE,FALSE,14533.44,FALSE,13025.597,11695.612,8847.319,NA,FALSE,TRUE,FALSE,TRUE
111,"Set #07 Focal J144 x Non-focal G38","J144","G38","Dolomedes minor","Dolomedes minor","minor x minor","2021-06-28","1",FALSE,"Na","Extremly long potential copulation with both palps. Didn't lead to breakage, but counting as copulation","Top mesh",TRUE,"T",TRUE,116,447.583,0,1,0,8,5392.767,674.095875,8,2001.946,250.24325,TRUE,"both",1.11000000000058,1.61999999999989,TRUE,"right",FALSE,FALSE,FALSE,14485.92,FALSE,NA,2895.581,1948.178,5898.411,FALSE,TRUE,FALSE,TRUE
