Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #12 Focal J124 x Non-focal G32	2022-02-17 12:15:08		14509.226	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2848.320	100.000;100.000;100.000;100.000;100.000		Lag Period		START	21.673	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0001.MP4	NA	NA	
Set #12 Focal J124 x Non-focal G32	2022-02-17 12:15:08		14509.226	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2848.320	100.000;100.000;100.000;100.000;100.000		Courtship		START	7927.487	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0003.MP4	NA	NA	
Set #12 Focal J124 x Non-focal G32	2022-02-17 12:15:08		14509.226	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2848.320	100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	7930.620	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0003.MP4	NA	NA	
Set #12 Focal J124 x Non-focal G32	2022-02-17 12:15:08		14509.226	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2848.320	100.000;100.000;100.000;100.000;100.000		First Touch		POINT	8868.992	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4	NA	NA	
Set #12 Focal J124 x Non-focal G32	2022-02-17 12:15:08		14509.226	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2848.320	100.000;100.000;100.000;100.000;100.000		Flee		POINT	9634.885	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4	NA	NA	
Set #12 Focal J124 x Non-focal G32	2022-02-17 12:15:08		14509.226	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2848.320	100.000;100.000;100.000;100.000;100.000		Courtship		STOP	9643.107	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4	NA	NA	
Set #12 Focal J124 x Non-focal G32	2022-02-17 12:15:08		14509.226	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2848.320	100.000;100.000;100.000;100.000;100.000		Courtship		START	9801.085	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4	NA	NA	
Set #12 Focal J124 x Non-focal G32	2022-02-17 12:15:08		14509.226	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2848.320	100.000;100.000;100.000;100.000;100.000		Flee		POINT	10376.007	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4	NA	NA	
Set #12 Focal J124 x Non-focal G32	2022-02-17 12:15:08		14509.226	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2848.320	100.000;100.000;100.000;100.000;100.000		Courtship		STOP	10379.012	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4	NA	NA	
Set #12 Focal J124 x Non-focal G32	2022-02-17 12:15:08		14509.226	Media file(s)	player #1://resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0001.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0002.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0003.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4;//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2848.320	100.000;100.000;100.000;100.000;100.000		Courtship		START	10407.767	//resource.waikato.ac.nz/filer/acad/Dolomedes/Dolomedes Experiment Video/Minor Mating Trials/Set #12 J124 x G42/Focal J124 x Non-focal G32/C0004.MP4	NA	NA	
