Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
Set #10 Focal G26 x Non-focal H73	2022-02-10 12:53:16		14468.220	Media file(s)	player #1:/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0001.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0002.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0003.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0004.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2804.160	100.000;100.000;100.000;100.000;100.000		Lag Period		START	20.713	/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0001.MP4	NA	NA	
Set #10 Focal G26 x Non-focal H73	2022-02-10 12:53:16		14468.220	Media file(s)	player #1:/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0001.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0002.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0003.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0004.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2804.160	100.000;100.000;100.000;100.000;100.000		Courtship		START	11034.310	/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0004.MP4	NA	NA	
Set #10 Focal G26 x Non-focal H73	2022-02-10 12:53:16		14468.220	Media file(s)	player #1:/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0001.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0002.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0003.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0004.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2804.160	100.000;100.000;100.000;100.000;100.000		Lag Period		STOP	11034.310	/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0004.MP4	NA	NA	
Set #10 Focal G26 x Non-focal H73	2022-02-10 12:53:16		14468.220	Media file(s)	player #1:/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0001.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0002.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0003.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0004.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2804.160	100.000;100.000;100.000;100.000;100.000		Attack		POINT	11248.585	/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0004.MP4	NA	NA	
Set #10 Focal G26 x Non-focal H73	2022-02-10 12:53:16		14468.220	Media file(s)	player #1:/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0001.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0002.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0003.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0004.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2804.160	100.000;100.000;100.000;100.000;100.000		Flee		POINT	11248.585	/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0004.MP4	NA	NA	
Set #10 Focal G26 x Non-focal H73	2022-02-10 12:53:16		14468.220	Media file(s)	player #1:/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0001.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0002.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0003.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0004.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2804.160	100.000;100.000;100.000;100.000;100.000		Courtship		STOP	11250.834	/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0004.MP4	NA	NA	
Set #10 Focal G26 x Non-focal H73	2022-02-10 12:53:16		14468.220	Media file(s)	player #1:/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0001.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0002.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0003.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0004.MP4;/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0005.MP4	2921.280;2921.280;2921.280;2921.280;2804.160	100.000;100.000;100.000;100.000;100.000		Complete		POINT	14488.933	/media/simon/Elements SE/Set #10 G26 x J203/Focal G26 x Non-focal H73/C0005.MP4	NA	NA	
