"","Behavior 0","Behavior 1","Mating ID"
"1","Courtship.Start","Leg Showcase","g1.J201xG43"
"2","Leg Showcase","Freezing","g1.J201xG43"
"3","Freezing","Leg Showcase","g1.J201xG43"
"4","Leg Showcase","Freezing","g1.J201xG43"
"5","Freezing","Leg Showcase","g1.J201xG43"
"6","Leg Showcase","Freezing","g1.J201xG43"
"7","Freezing","Leg Showcase","g1.J201xG43"
"8","Leg Showcase","Freezing","g1.J201xG43"
"9","Freezing","Leg Showcase","g1.J201xG43"
"10","Leg Showcase","Freezing","g1.J201xG43"
"11","Freezing","Leg Showcase","g1.J201xG43"
"12","Leg Showcase","Freezing","g1.J201xG43"
"13","Freezing","Leg Showcase","g1.J201xG43"
"14","Leg Showcase","Freezing","g1.J201xG43"
"15","Freezing","Leg Showcase","g1.J201xG43"
"16","Leg Showcase","Freezing","g1.J201xG43"
"17","Freezing","Leg Showcase","g1.J201xG43"
"18","Leg Showcase","Freezing","g1.J201xG43"
"19","Freezing","Leg Showcase","g1.J201xG43"
"20","Leg Showcase","Freezing","g1.J201xG43"
"21","Freezing","Leg Showcase","g1.J201xG43"
"22","Leg Showcase","Freezing","g1.J201xG43"
"23","Freezing","Leg Showcase","g1.J201xG43"
"24","Leg Showcase","Abdomen Tapping","g1.J201xG43"
"25","Abdomen Tapping","Leg Showcase","g1.J201xG43"
"26","Leg Showcase","Freezing","g1.J201xG43"
"27","Freezing","Leg Showcase","g1.J201xG43"
"28","Leg Showcase","Freezing","g1.J201xG43"
"29","Freezing","Leg Showcase","g1.J201xG43"
"30","Leg Showcase","Freezing","g1.J201xG43"
"31","Freezing","Leg Showcase","g1.J201xG43"
"32","Leg Showcase","Freezing","g1.J201xG43"
"33","Freezing","Leg Showcase","g1.J201xG43"
"34","Leg Showcase","Freezing","g1.J201xG43"
"35","Freezing","Leg Showcase","g1.J201xG43"
"36","Leg Showcase","Freezing","g1.J201xG43"
"37","Freezing","Leg Showcase","g1.J201xG43"
"38","Leg Showcase","Freezing","g1.J201xG43"
"39","Freezing","Abdomen Tapping","g1.J201xG43"
"40","Abdomen Tapping","Freezing","g1.J201xG43"
"41","Freezing","Leg Showcase","g1.J201xG43"
"42","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J201xG43"
"43","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J201xG43"
"44","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J201xG43"
"45","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J201xG43"
"46","Leg Showcase","Freezing","g1.J201xG43"
"47","Freezing","Leg Showcase","g1.J201xG43"
"48","Leg Showcase","Freezing","g1.J201xG43"
"49","Freezing","Leg Showcase","g1.J201xG43"
"50","Leg Showcase","Freezing","g1.J201xG43"
"51","Freezing","Abdomen Tapping","g1.J201xG43"
"52","Abdomen Tapping","Freezing","g1.J201xG43"
"53","Freezing","Leg Showcase","g1.J201xG43"
"54","Leg Showcase","Freezing","g1.J201xG43"
"55","Freezing","Leg Showcase","g1.J201xG43"
"56","Leg Showcase","Freezing","g1.J201xG43"
"57","Freezing","Leg Showcase","g1.J201xG43"
"58","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J201xG43"
"59","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J201xG43"
"60","Leg Showcase","Freezing","g1.J201xG43"
"61","Freezing","Leg Showcase","g1.J201xG43"
"62","Leg Showcase","Freezing","g1.J201xG43"
"63","Freezing","Leg Showcase","g1.J201xG43"
"64","Leg Showcase","Freezing","g1.J201xG43"
"65","Freezing","Leg Showcase","g1.J201xG43"
"66","Leg Showcase","Freezing","g1.J201xG43"
"67","Freezing","Leg Showcase","g1.J201xG43"
"68","Leg Showcase","Freezing","g1.J201xG43"
"69","Freezing","Leg Showcase","g1.J201xG43"
"70","Leg Showcase","Freezing","g1.J201xG43"
"71","Freezing","Leg Showcase","g1.J201xG43"
"72","Leg Showcase","Freezing","g1.J201xG43"
"73","Freezing","Leg Showcase","g1.J201xG43"
"74","Leg Showcase","Freezing","g1.J201xG43"
"75","Freezing","Abdomen Tapping","g1.J201xG43"
"76","Abdomen Tapping","Freezing","g1.J201xG43"
"77","Freezing","Leg Showcase","g1.J201xG43"
"78","Leg Showcase","Freezing","g1.J201xG43"
"79","Freezing","Leg Showcase","g1.J201xG43"
"80","Leg Showcase","Freezing","g1.J201xG43"
"81","Freezing","Abdomen Tapping","g1.J201xG43"
"82","Abdomen Tapping","Leg Showcase","g1.J201xG43"
"83","Leg Showcase","Freezing","g1.J201xG43"
"84","Freezing","Leg Showcase","g1.J201xG43"
"85","Leg Showcase","Freezing","g1.J201xG43"
"86","Freezing","Leg Showcase","g1.J201xG43"
"87","Leg Showcase","Freezing","g1.J201xG43"
"88","Freezing","Leg Showcase","g1.J201xG43"
"89","Leg Showcase","Freezing","g1.J201xG43"
"90","Freezing","Leg Showcase","g1.J201xG43"
"91","Leg Showcase","Freezing","g1.J201xG43"
"92","Freezing","Leg Showcase","g1.J201xG43"
"93","Leg Showcase","Freezing","g1.J201xG43"
"94","Freezing","Leg Showcase","g1.J201xG43"
"95","Leg Showcase","Freezing","g1.J201xG43"
"96","Freezing","Leg Showcase","g1.J201xG43"
"97","Leg Showcase","Freezing","g1.J201xG43"
"98","Freezing","Abdomen Tapping","g1.J201xG43"
"99","Abdomen Tapping","Freezing","g1.J201xG43"
"100","Freezing","Leg Showcase","g1.J201xG43"
"101","Leg Showcase","Freezing","g1.J201xG43"
"102","Freezing","Leg Showcase","g1.J201xG43"
"103","Leg Showcase","Abdomen Tapping","g1.J201xG43"
"104","Abdomen Tapping","Leg Showcase","g1.J201xG43"
