"","Behavior 0","Behavior 1","Mating ID"
"1","Courtship.Start","Leg Showcase","g1.J101xJ204"
"2","Leg Showcase","Freezing","g1.J101xJ204"
"3","Freezing","Leg Showcase","g1.J101xJ204"
"4","Leg Showcase","Freezing","g1.J101xJ204"
"5","Freezing","Abdomen Tapping","g1.J101xJ204"
"6","Abdomen Tapping","Freezing","g1.J101xJ204"
"7","Freezing","Abdomen Tapping","g1.J101xJ204"
"8","Abdomen Tapping","Freezing","g1.J101xJ204"
"9","Freezing","Leg Showcase","g1.J101xJ204"
"10","Leg Showcase","Freezing","g1.J101xJ204"
"11","Freezing","Abdomen Tapping","g1.J101xJ204"
"12","Abdomen Tapping","Leg Showcase","g1.J101xJ204"
"13","Leg Showcase","Freezing","g1.J101xJ204"
"14","Freezing","Abdomen Tapping","g1.J101xJ204"
"15","Abdomen Tapping","Leg Showcase","g1.J101xJ204"
"16","Leg Showcase","Freezing","g1.J101xJ204"
"17","Freezing","Leg Showcase + Pedipalp Showcase","g1.J101xJ204"
"18","Leg Showcase + Pedipalp Showcase","Mounting.Start","g1.J101xJ204"
"19","Mounting.Start","Leg Showcase + Mounted + Pedipalp Showcase","g1.J101xJ204"
"20","Leg Showcase + Mounted + Pedipalp Showcase","Leg Showcase + Mounted","g1.J101xJ204"
"21","Leg Showcase + Mounted","Mounted + Freezing","g1.J101xJ204"
"22","Mounted + Freezing","Leg Showcase + Mounted","g1.J101xJ204"
"23","Leg Showcase + Mounted","Mounted + Freezing","g1.J101xJ204"
"24","Mounted + Freezing","Leg Showcase + Mounted","g1.J101xJ204"
"25","Leg Showcase + Mounted","Mounted + Freezing","g1.J101xJ204"
"26","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J101xJ204"
"27","Leg Showcase + Mounted + Pedipalp Showcase","Leg Showcase + Mounted","g1.J101xJ204"
"28","Leg Showcase + Mounted","Mounted + Freezing","g1.J101xJ204"
"29","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J101xJ204"
"30","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J101xJ204"
"31","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J101xJ204"
"32","Leg Showcase + Mounted + Pedipalp Showcase","Leg Showcase + Mounted","g1.J101xJ204"
"33","Leg Showcase + Mounted","Mounted + Freezing","g1.J101xJ204"
"34","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J101xJ204"
"35","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J101xJ204"
"36","Mounted + Freezing","Leg Showcase + Mounted","g1.J101xJ204"
"37","Leg Showcase + Mounted","Mounted + Freezing","g1.J101xJ204"
"38","Mounted + Freezing","Leg Showcase + Mounted","g1.J101xJ204"
"39","Leg Showcase + Mounted","Mounted + Freezing","g1.J101xJ204"
"40","Mounted + Freezing","Leg Showcase + Mounted","g1.J101xJ204"
"41","Leg Showcase + Mounted","Mounted + Freezing","g1.J101xJ204"
"42","Mounted + Freezing","Leg Showcase + Mounted","g1.J101xJ204"
"43","Leg Showcase + Mounted","Mounted + Freezing","g1.J101xJ204"
"44","Mounted + Freezing","Leg Showcase + Mounted","g1.J101xJ204"
"45","Leg Showcase + Mounted","Mounted + Freezing","g1.J101xJ204"
"46","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J101xJ204"
"47","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J101xJ204"
"48","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J101xJ204"
"49","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J101xJ204"
"50","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J101xJ204"
"51","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J101xJ204"
"52","Mounted + Freezing","Mounted + Pedipalp Showcase","g1.J101xJ204"
"53","Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J101xJ204"
"54","Mounted + Freezing","Mounted + Pedipalp Showcase","g1.J101xJ204"
"55","Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J101xJ204"
"56","Mounted + Freezing","Mounted + Pedipalp Showcase","g1.J101xJ204"
"57","Mounted + Pedipalp Showcase","Leg Showcase + Mounted + Pedipalp Showcase","g1.J101xJ204"
"58","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J101xJ204"
"59","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J101xJ204"
"60","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J101xJ204"
"61","Mounted + Freezing","Mounted + Pedipalp Showcase","g1.J101xJ204"
"62","Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J101xJ204"
"63","Mounted + Freezing","Mounted + Pedipalp Showcase","g1.J101xJ204"
"64","Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J101xJ204"
"65","Mounted + Freezing","Mounted + Pedipalp Showcase","g1.J101xJ204"
"66","Mounted + Pedipalp Showcase","Leg Showcase + Mounted + Pedipalp Showcase","g1.J101xJ204"
