"","Behavior 0","Behavior 1","Mating ID"
"1","Courtship.Start","Leg Showcase","g1.J124xG42"
"2","Leg Showcase","Freezing","g1.J124xG42"
"3","Freezing","Leg Showcase","g1.J124xG42"
"4","Leg Showcase","Freezing","g1.J124xG42"
"5","Freezing","Leg Showcase","g1.J124xG42"
"6","Leg Showcase","Freezing","g1.J124xG42"
"7","Freezing","Leg Showcase","g1.J124xG42"
"8","Leg Showcase","Freezing","g1.J124xG42"
"9","Freezing","Leg Showcase","g1.J124xG42"
"10","Leg Showcase","Freezing","g1.J124xG42"
"11","Freezing","Leg Showcase","g1.J124xG42"
"12","Leg Showcase","Freezing","g1.J124xG42"
"13","Freezing","Leg Showcase","g1.J124xG42"
"14","Leg Showcase","Abdomen Tapping","g1.J124xG42"
"15","Abdomen Tapping","Leg Showcase","g1.J124xG42"
"16","Leg Showcase","Freezing","g1.J124xG42"
"17","Freezing","Leg Showcase","g1.J124xG42"
"18","Leg Showcase","Freezing","g1.J124xG42"
"19","Freezing","Leg Showcase","g1.J124xG42"
"20","Leg Showcase","Freezing","g1.J124xG42"
"21","Freezing","Leg Showcase","g1.J124xG42"
"22","Leg Showcase","Freezing","g1.J124xG42"
"23","Freezing","Leg Showcase","g1.J124xG42"
"24","Leg Showcase","Freezing","g1.J124xG42"
"25","Freezing","Leg Showcase","g1.J124xG42"
"26","Leg Showcase","Freezing","g1.J124xG42"
"27","Freezing","Leg Showcase","g1.J124xG42"
"28","Leg Showcase","Freezing","g1.J124xG42"
"29","Freezing","Leg Showcase","g1.J124xG42"
"30","Leg Showcase","Freezing","g1.J124xG42"
"31","Freezing","Leg Showcase","g1.J124xG42"
"32","Leg Showcase","Abdomen Tapping","g1.J124xG42"
"33","Abdomen Tapping","Leg Showcase","g1.J124xG42"
"34","Leg Showcase","Freezing","g1.J124xG42"
"35","Freezing","Leg Showcase","g1.J124xG42"
"36","Leg Showcase","Freezing","g1.J124xG42"
"37","Freezing","Leg Showcase","g1.J124xG42"
"38","Leg Showcase","Freezing","g1.J124xG42"
"39","Freezing","Leg Showcase","g1.J124xG42"
"40","Leg Showcase","Freezing","g1.J124xG42"
"41","Freezing","Abdomen Tapping","g1.J124xG42"
"42","Abdomen Tapping","Leg Showcase","g1.J124xG42"
"43","Leg Showcase","Freezing","g1.J124xG42"
"44","Freezing","Abdomen Tapping","g1.J124xG42"
"45","Abdomen Tapping","Freezing","g1.J124xG42"
"46","Freezing","Leg Showcase","g1.J124xG42"
"47","Leg Showcase","Freezing","g1.J124xG42"
"48","Freezing","Abdomen Tapping","g1.J124xG42"
"49","Abdomen Tapping","Freezing","g1.J124xG42"
"50","Freezing","Leg Showcase","g1.J124xG42"
"51","Leg Showcase","Abdomen Tapping","g1.J124xG42"
"52","Abdomen Tapping","Leg Showcase","g1.J124xG42"
"53","Leg Showcase","Abdomen Tapping","g1.J124xG42"
"54","Abdomen Tapping","Leg Showcase","g1.J124xG42"
"55","Leg Showcase","Freezing","g1.J124xG42"
"56","Freezing","Leg Showcase","g1.J124xG42"
"57","Leg Showcase","Freezing","g1.J124xG42"
"58","Freezing","Abdomen Tapping","g1.J124xG42"
"59","Abdomen Tapping","Leg Showcase","g1.J124xG42"
"60","Leg Showcase","Freezing","g1.J124xG42"
"61","Freezing","Leg Showcase","g1.J124xG42"
"62","Leg Showcase","Freezing","g1.J124xG42"
"63","Freezing","Abdomen Tapping","g1.J124xG42"
"64","Abdomen Tapping","Freezing","g1.J124xG42"
"65","Freezing","Leg Showcase","g1.J124xG42"
"66","Leg Showcase","Freezing","g1.J124xG42"
"67","Freezing","Abdomen Tapping","g1.J124xG42"
"68","Abdomen Tapping","Leg Showcase","g1.J124xG42"
"69","Leg Showcase","Abdomen Tapping","g1.J124xG42"
"70","Abdomen Tapping","Leg Showcase","g1.J124xG42"
"71","Leg Showcase","Freezing","g1.J124xG42"
"72","Freezing","Abdomen Tapping","g1.J124xG42"
"73","Abdomen Tapping","Freezing","g1.J124xG42"
"74","Freezing","Mounting.Start","g1.J124xG42"
"75","Mounting.Start","Leg Showcase + Mounted + Pedipalp Showcase","g1.J124xG42"
"76","Leg Showcase + Mounted + Pedipalp Showcase","Leg Showcase + Mounted","g1.J124xG42"
"77","Leg Showcase + Mounted","Mounted + Freezing","g1.J124xG42"
"78","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J124xG42"
"79","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J124xG42"
"80","Mounted + Freezing","Leg Showcase + Mounted","g1.J124xG42"
"81","Leg Showcase + Mounted","Mounted + Freezing","g1.J124xG42"
