"","Behavior 0","Behavior 1","Mating ID"
"294","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"295","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"296","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"297","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"298","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"299","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"300","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"301","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"302","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"303","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"304","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"305","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"306","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"307","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"308","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"309","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"310","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"311","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"312","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"313","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"314","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"315","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"316","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"317","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"318","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"319","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"320","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"321","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
"322","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.G30xJ210"
"323","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.G30xJ210"
