"","Behavior 0","Behavior 1","Mating ID"
"102","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
"103","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J102xJ206"
"104","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
"105","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J102xJ206"
"106","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
"107","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J102xJ206"
"108","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
"109","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J102xJ206"
"110","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
"111","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J102xJ206"
"112","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
"113","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J102xJ206"
"114","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
"115","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J102xJ206"
"116","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
"117","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J102xJ206"
"118","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
"119","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J102xJ206"
"120","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
"121","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J102xJ206"
"122","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
"123","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J102xJ206"
"124","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
"125","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J102xJ206"
"126","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
"127","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J102xJ206"
"128","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J102xJ206"
