"","Behavior 0","Behavior 1","Mating ID"
"1","Courtship.Start","Leg Showcase","g1.J191xJ68"
"2","Leg Showcase","Abdomen Tapping","g1.J191xJ68"
"3","Abdomen Tapping","Leg Showcase","g1.J191xJ68"
"4","Leg Showcase","Abdomen Tapping","g1.J191xJ68"
"5","Abdomen Tapping","Leg Showcase","g1.J191xJ68"
"6","Leg Showcase","Grooming","g1.J191xJ68"
"7","Grooming","Grooming + Leg Showcase","g1.J191xJ68"
"8","Grooming + Leg Showcase","Grooming","g1.J191xJ68"
"9","Grooming","Abdomen Tapping","g1.J191xJ68"
"10","Abdomen Tapping","Leg Showcase","g1.J191xJ68"
"11","Leg Showcase","Abdomen Tapping","g1.J191xJ68"
"12","Abdomen Tapping","Leg Showcase","g1.J191xJ68"
"13","Leg Showcase","Pedipalp Showcase","g1.J191xJ68"
"14","Pedipalp Showcase","Leg Showcase","g1.J191xJ68"
"15","Leg Showcase","Freezing","g1.J191xJ68"
"16","Freezing","Leg Showcase","g1.J191xJ68"
"17","Leg Showcase","Freezing","g1.J191xJ68"
"18","Freezing","Leg Showcase","g1.J191xJ68"
"19","Leg Showcase","Freezing","g1.J191xJ68"
"20","Freezing","Abdomen Tapping","g1.J191xJ68"
"21","Abdomen Tapping","Leg Showcase","g1.J191xJ68"
"22","Leg Showcase","Freezing","g1.J191xJ68"
"23","Freezing","Pedipalp Showcase","g1.J191xJ68"
"24","Pedipalp Showcase","Leg Showcase + Pedipalp Showcase","g1.J191xJ68"
"25","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J191xJ68"
"26","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J191xJ68"
"27","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J191xJ68"
"28","Leg Showcase","Leg Showcase + Pedipalp Showcase","g1.J191xJ68"
"29","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J191xJ68"
"30","Leg Showcase","Abdomen Tapping","g1.J191xJ68"
"31","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g1.J191xJ68"
"32","Leg Showcase + Pedipalp Showcase","Leg Showcase","g1.J191xJ68"
"33","Leg Showcase","Freezing","g1.J191xJ68"
"34","Freezing","Abdomen Tapping","g1.J191xJ68"
"35","Abdomen Tapping","Pedipalp Showcase","g1.J191xJ68"
"36","Pedipalp Showcase","Freezing","g1.J191xJ68"
"37","Freezing","Mounting.Start","g1.J191xJ68"
"38","Mounting.Start","Mounted + Freezing","g1.J191xJ68"
"39","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"40","Leg Showcase + Mounted + Pedipalp Showcase","Leg Showcase + Mounted","g1.J191xJ68"
"41","Leg Showcase + Mounted","Mounted + Freezing","g1.J191xJ68"
"42","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"43","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J191xJ68"
"44","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"45","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J191xJ68"
"46","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"47","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J191xJ68"
"48","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"49","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J191xJ68"
"50","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"51","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J191xJ68"
"52","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"53","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J191xJ68"
"54","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"55","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J191xJ68"
"56","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"57","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J191xJ68"
"58","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"59","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J191xJ68"
"60","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"61","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J191xJ68"
"62","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"63","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J191xJ68"
"64","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"65","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J191xJ68"
"66","Mounted + Freezing","Mounted + Pedipalp Showcase","g1.J191xJ68"
"67","Mounted + Pedipalp Showcase","Mounted + Freezing","g1.J191xJ68"
"68","Mounted + Freezing","Leg Showcase + Mounted + Pedipalp Showcase","g1.J191xJ68"
"69","Leg Showcase + Mounted + Pedipalp Showcase","Mounted + Pedipalp Showcase","g1.J191xJ68"
"70","Mounted + Pedipalp Showcase","Retreat","g1.J191xJ68"
